lyrics_chunk,song,artist,year,rank,source,decade,mood
i believe in miracles where you from you sexy thing i believe in miracles since you came along you sexy thingwhere did you come from baby how did you know i needed you how did you know i needed you so badly how did you know id give my heart gladly yesterday i was one of the lonely people now youre lying close to me making love to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingwhere did you come from angel how did you know id be the one did you know youre everything i prayed for did you know every night and day for every day needing love and satisfaction now youre lying next to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh kiss me you sexy thing touch me baby you sexy thing i love the way you touch me darling you sexy thing oh its ecstasy you sexy thingyesterday i was one of the lonely people now youre lying close to me giving it to mei believe in miracles where you from you sexy thing sexy thing you i believe in miracles since you came along you sexy thingoh touch me kiss me darling i love the way you hold me baby oh its ecstasyoh its ecstasy sexy thing you sexy thing you kiss me baby sexy thing you sexy thing you i love the way you kiss me darling sexy thing you sexy thing you oh yeah sexy thing you sexy thing you love the way you hold me sexy thing you sexy thing you keep on lovin me darling sexy thing you sexy thing you keep on lovin me baby sexy thing you sexy thing you,you sexy thing,hot chocolate,1976,22,1,1970s,happy
thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie thats right boogie boogie thats right get up and boogie get up and boogie thats right get up and boogie get up and boogie boogie boogie thats right get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie get up and boogie,get up and boogie,silver convention,1976,24,3,1970s,happy
aah everybody get on the floor lets dance dont fight your feelings give yourself a chance shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah you can you can do it very well youre the best in the world i can tell oh shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty oh yeah shake shake shake shake aah shake shake shake shake aah shake shake shake shake shake shake shake your booty shake your booty oh shake shake shake shake shake shake shake your booty shake your booty aah shake shake shake shake shake your booty aah dont fight the feeling shake shake shake shake shake your booty aah give yourself a chance shake shake shake shake shake your booty you can do it do it shake shake shake shake shake your booty come home with momma now shake shake shake shake shake your booty shake shake shake shake shake your booty aah run down to sister shake shake shake shake on your booty aah doo your duty shake shake shake shake,shake shake shake shake your booty,kc and the sunshine band,1976,26,3,1970s,happy
show me a river thats so deep show me a mountain so high ill show you love thatll last forever flying high so highah show me a place where dreams are for dreamers and all the things you wish come true yeah id wish the world had all happy people then thered be no more wishing to dooh oh oh oh oh sweet love oh oh oh oh oh sweet love oh oh oh oh oh oohwoo hoo hoo hoo hoo hoo sweet sweet lovesun shines over the rainbow high on a hill take a ride on a magic carpet and you know its for realthe world is filled with all the lonely people trying to find their way all they need is a hand to guide them to a brighter dayoh oh oh oh oh sweet love sweet sweet love oh oh oh oh oh well well sweet love sweet sweet love oh oh oh oh oh ohwoo hoo hoo hoo hoo hoo yeah sweet lovesweet love that comes through the ages reach out and touch my soul gave my life so much meaning and everyone a heart of goldoh oh oh oh sweet love well well well oh oh oh oh oh sweet sweet sweet love oh oh oh oh oh sweet sweet sweet sweet love ooo ooooh you needed love ohh sweet love sweet sweet love ohh ohh sweet lovei know youre searchin i know youre searchin for a little love a little peace and understanding and i know its been hard tryin to find your way but you got to keep on searchin harder day by day cause i want you and you you you you you you you you and you to stand on up yes sir put a little love in your heart and little heart in your love together we can make a way listen to me dont wonder to hard ah of what i trying to say cause its love loves the only wayoh nothin but love oh oh love sweet love sweet love ow oh oh oh when youre down and out and you cant see your way sweet love and you need a friend wellellelloh oh oh just call on love love sweet love sweet sweet sweet sweet sweet sweet sweet sweet love,sweet love,commodores,1976,27,1,1970s,happy
ooo and its alright and its comin long we got to get right back to where we started from love is good love can be strong we got to get right back to where we started fromohohhhhh do you remember that day that sunny day when you first came my way i said no one could take your place and if you get hurt if you get hurt by the little things i say i can put that smile back on your faceooo and its alright and its comin long we got to get right back to where we started from love is good love can be strong we got to get right back to where we started froma love like ours a love like ours can never fade away you know its only just begun you give me your love give me your love i just cant stay away i know that youre the only one,right back where we started from,maxine nightingale,1976,28,1,1970s,happy
love rollercoaster the ohio players red hot chili peppers album the beavis butthead do america soundtracksource sandra ott you give me that funny feeling in my tummy ahw sh yeah thats right huh rollercoaster of love say what rollercoaster yeah oohh oohh oohhoh baby you know what im talking about rollercoaster of love oh yeah its rollercoaster timelovin you is really wild oh its just a love rollercoaster step right up and get your tickets1your love is like a rollercoaster babybaby i want to ride yeah awawaw repeat 12move over dad cause im a double dipple upside down on the big dip dipper 12 123 ive got a ticket come ride with me let me go down on the merrygoround all is fair n a big fair ground lets go slow lets go fast like a liqorice twist gonna whip your ass rpt 1 1 2 1rollercoaster say what i will be there for you i will be your man,love rollercoaster,ohio players,1976,30,1,1970s,happy
the wind blew some luck in my direction i caught it in my hands today i finally made a tricky frech connection you winked and gave me your ok ill take you on a trip beside the ocean and drop the top at chesapeake bay aint nothing like the sky to dose a potion the moonll send you on your way ha ha moonlight feels right moonlight feels rightwell lay back and observe the constellations and watch the moon smiling bright ill play the radio on southern stations cause southern belles are hell at night you say you came to baltimore from ole miss a class of 74 gold ring the eastern moon looks ready for a wet kiss to make the tide rise again ha ha moonlight feels right moonlight feels rightwell see the sun come up on sunday mornin and watch it fade the moon away i guess you know im givin you a warnin cause me and moon are itchin to play ill take you on a trip beside the ocean and drop the top at chesapeake bay aint nothing like the sky to dose a potion the moonll send you on your way moonlight feels right moonlight feels right,moonlight feels right,starbuck,1976,34,1,1970s,happy
theres a reason for the sunshine day theres a reason why im feelin so high must be the season when that love light shines all around us so let that feeling grad you deep inside and send you reeling where your love cant hide and then go stealing throught the summer nights with your lover just let your love flow like a mountain stream and let your love grow with the smallest of dreams and let your love show and youll know what i mean its the season let your love fly like a bird on the wing and let your love bind you to all living things and let your love shine and youll know what i mean thats the reason theres a reason for the warm sweet nights theres a reason for the candle lights must be the season when those love rites shine all around us so let the wonder take you into space and lay you under its loving embrace feel the thunder as it warms your face you cant hold back ust let your love flow like a mountain stream and let your love grow with the smallest of dreams and let your love show and youll know what i mean its the season let your love fly like a bird on the wing and let your love bind you to all living things and let your love shine and youll know what i mean thats the reason,let your love flow,the bellamy brothers,1976,36,3,1970s,happy
turn the beat around love to hear the percussion turn it upside down love to hear the percussion love to hear it blow horns you sure sound pretty your violins keep movin to the nitty gritty when you hear the scratch of the guitars scratchin then youll know that rhythm carries all the action woah turn the beat around love to hear the percussion turn it upside down love to hear the percussion love to hear it turn the beat around love to hear the percussion turn it upside down love to hear the percussion love to hear it flute player play your flute cause i know that you want to get your thing off but you see ive made up my mind about it its got to be the rhythm no doubt about it woah woah cause when the guitar player start playing with the syncopated rhythm with the scratch scratch scratch makes me wanna move my body yeah yeah yeah and when the drummer starts beating that beat he nails that beat with the syncopated rhythm with the rat tat tat tat tat tat on the drums hey turn the beat around love to hear the percussion turn it upside down love to hear the percussion love to hear it love to hear it love to hear it love to hear it turn the beat around love to hear the percussion turn it upside down love to hear the percussion love to hear it turn the beat around love to hear the percussion turn it upside down love to hear the percussion when the guitar player start playing with the syncopated rhythm with the scratch scratch scratch makes me wanna move my body yeah yeah yeah and when the drummer starts beating that beat he nails that beat with the syncopated rhythm with the rat tat tat tat tat tat on the drums hey turn the beat around love to hear the percussion turn it upside down love to hear the percussion turn the beat around love to hear the percussion turn it upside down love to hear the percussion turn the beat around love to hear the percussion turn it upside down love to hear the percussion turn the beat around love to hear the percussion turn it upside down love to hear the percussion turn the beat around love to hear the percussion turn it upside down,turn the beat around,vicki sue robinson,1976,38,3,1970s,happy
hello yeah its been a while not much how about you im not sure why i called i guess i really just wanted to talk to you and i was thinking maybe later on we could get together for a while its been such a long time and i really do miss your smile chorus im not talking about moving in and i dont want to change your life but theres a warm wind blowing the stars around and id really love to see you tonight we could go walking through a windy park or take a drive along the beach or stay at home and watch tv you see it really doesnt matter much to me im not talking about moving in and i dont want to change your life but theres a warm wind blowing the stars around and id really love to see you tonight i wont ask for promises so you dont have to lie weve both played that game before say i love you and say goodbye chorus x2 the end,id really love to see you tonight,england dan john ford coley,1976,21,5,1970s,reflective
all alone at the end of the evening and the bright lights have faded to blue i was thinking bout a woman who might have loved me and i never knew you know ive always been a dreamer spent my life running round and its so hard to change cant seem to settle down but the dreams ive seen lately keep on turning out and burning out and turning out the same so put me on a highway and show me a sign and take it to the limit one more time you can spend all your time making money you can spend all your love making time if it all fell to pieces tomorrow would you still be mine and when youre looking for your freedom nobody seems to care and you cant find the door cant find it anywhere when theres nothing to believe in still youre coming back youre running back youre coming back for more so put me on a highway and show me a sign and take it to the limit one more time take it to the limit take it to the limit take it to the limit one more time take it to the limit take it to the limit take it to the limit one more time take it to the limit take it to the limit take it to the limit one more time,take it to the limit,eagles,1976,25,3,1970s,reflective
golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whopdont let me hear you say lifes taking you nowhere angel come get up my baby look at that sky lifes begun nights are warm and the days are young come get up my babytheres my baby lost thats all once im begging you save her little soul golden years gold whop whop whop come get up my babylast night they loved you opening doors and pulling some strings angel come get up my baby in walked luck and you looked in time never look back walk tall act fine come get up my babyill stick with you baby for a thousand years nothings gonna touch you in these golden years gold golden years gold whop whop whop come get up my babysome of these days and it wont be long gonna drive back down where you once belonged in the back of a dream car twenty foot long dont cry my sweet dont break my heart doing all right but you gotta get smart wish upon wish upon day upon day i believe oh lord i believe all the way come get up my babyrun for the shadows run for the shadows run for the shadows in these golden yearstheres my baby lost thats all once im begging you save her little soul golden years gold whop whop whop come get up my babydont let me hear you say lifes taking you nowhere angel come get up my baby run for the shadows run for the shadows run for the shadows in these golden yearsill stick with you baby for a thousand years nothings gonna touch you in these golden years goldgolden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop golden years gold whop whop whop,golden years,david bowie,1976,33,1,1970s,reflective
she was only sixteen only sixteen but i loved her so but she was too young to fall in love and i was too young to knowwed laugh and wed sing and do funny things and it made our hearts glow but she was too young to fall in love and i was too young to knowso why did i give my heart so fast it never will happen again but i was a mere child of sixteen ive aged a year since thenshe was only sixteen only sixteen oh with eyes that would glow but she was too young to fall in love and i was too young to knowso why did i give my heart so fast it never will happen again but i was a mere child of sixteen ive aged a year since thennow she was only sixteen only sixteen oh but i loved that girl so but she was too young to fall in love and i was too young to know yes she was too young to fall in love and i i was too young i was much too young to know,only sixteen,dr hook,1976,35,1,1970s,reflective
i have just closed my eyes again climbed aboard the dream weaver train driver take away my worries of today and leave tomorrow behinddream weaver i believe you can get me through the night dream weaver i believe we can reach the morning lightfly me high through the starry skies or maybe to an astral plane cross the highways of fantasy help me to forget todays paindream weaver i believe you can get me through the night dream weaver i believe we can reach the morning lightthough the dawn may be coming soon there still may be some time fly me away to the bright side of the moon and meet me on the other sidedream weaver i believe you can get me through the night dream weaver i believe we can reach the morning light,dream weaver,gary wright,1976,37,1,1970s,reflective
when the deep purple falls over sleepy garden walls and the stars begin to twinkle in the sky in the mist of a memory you wander back to me breathing my name with a sigh in the still of the night once again i hold you tight though youre gone your love lives on when moonlight beams and as long as my heart will beat sweet lovers well always meet here in my deep purple dreams when the deep purple falls over sleepy garden walls and the stars begin to twinkle in the sky in the mist of a memory you wander back to me breathing my name with a sigh in the still of the night once again i hold you tight though youre gone your love lives on when moonlight beams and as long as my heart will beat sweet lovers well always meet here in my deep purple dreams and as long as my heart will beat sweet lovers well always meet here in my deep purple dreams here in my deep purple dreams here in my deep purple dreams,deep purple,donny marie osmond,1976,42,3,1970s,reflective
babys into running around hanging with the crowd putting your business in the street talking out loud saying you bought her this and that and how much you done spent i swear she must believe its all heaven senthey boy you better bring the chick around to the sad sad truth the dirty lowdownwho i wonder wonder wonder wonder who taught her how to talk like that who i wonder wonder wonder wonder who gave her that big ideanothing you cant handle nothing you aint got put your money on the table and drive it off the lot turn on that ole lovelight and turn a maybe to a yes same old schoolboy game got you into this messhey son better get on back to town face the sad old truth the dirty lowdownwho i wonder wonder wonder wonder who put those ideas in your head who i wonder wonder wonder wonder whoyeah come on back down little son dig the low low low low lowdownyou aint got to be so bad got to be so cold this dog eat dog existence sure is getting old got to have a jones for this jones for that this running with the joneses boy just aint where its atyou gonna come back around to the sad sad truth the dirty lowdownwho i wonder wonder wonder wonder who got you thinking like that boy who i wonder wonder wonder wonder whoi wonder wonder wonder wonder who said i wonder wonder wonder i wonder whowho i wonder wonder wonder wonder who who i wonder wonder wonder wonder who who who i wonder wonder wonder wonder who who i wonder wonder wonder wonder who i wonder wonder wonder wonder who,lowdown,boz scaggs,1976,49,1,1970s,reflective
i wonder how your feeling theres ringing in my ears and no one to relate to cept the sea who can i believe in im kneeling on the floor there has to be a force who do i call the stars are out and shining but all i really want to know oh wont you show me the way everyday i want you show me the way yeah well i can see no reason you living on your nerves when someone drops a cup and i submerge im swimming in a circle i feel im going down there has to be a fool to play my part well someone thought of healing but all i really want to know oh wont you show me the way everyday i want you show me the way i want you day after day i wonder if im dreaming i feel so unashamed i cant believe this is happening to me i watch you when youre sleeping and then i wanna take your love oh wont you show me the way everyday i want you show me the way one more time i want you day after day hey i want you day after day hey i want you show me the way everyday i want you show me the way night and day i want you day after day hey ooh,show me the way live,peter frampton,1976,50,5,1970s,reflective
every time when i look in the mirror all these lines on my face getting clearer the past is gone it went by like dusk to dawn isnt that the way everybodys got the dues in life to payi know nobody knows where it comes and where it goes i know its everybody sin you got to lose to know how to winhalf my life is books written pages live and learn from fools and from sages you know its true oh all these feelings come back to yousing with me sing for the years sing for the laughter sing for the tears sing with me just for today maybe tomorrow the good lord will take you awayyeah sing with me sing for the year sing for the laughter sing for the tear sing with me just for today maybe tomorrow the good lord will take you awaydream on dream on dream on dream until your dreams come true dream on dream on dream on dream until your dreams come true dream on dream on dream on dream on dream on dream on dream onsing with me sing for the year sing for the laughter sing for the tear sing with me just for today maybe tomorrow the good lord will take you away sing with me sing for the year sing for the laughter sing for the tear sing with me just for today maybe tomorrow the good lord will take you away,dream on,aerosmith,1976,51,1,1970s,reflective
good morning yesterday you wake up and time has slipped away and suddenly its hard to find the memories you left behind remember do you rememberthe laughter and the tears the shadows of misty yesteryears the good times and the bad youve seen and all the others in between remember do you remember the times of your life do you rememberreach out for the joy and the sorrow put them away in your mind the memries are time that you borrow to spend when you get to tomorrowhere comes the setting sun comes the setting sun the seasons are passing one by one so gather moments while you may collect the dreams you dream today remember will you remember the times of your lifegather moments while you may collect the dreams you dream today remember will you remember the times of your lifeof your life of your life do you remember baby do you remember the times of your lifefadedo you remember baby do you remember the times of your life,times of your life,paul anka,1976,54,1,1970s,reflective
love hurts love scars love wounds and marks any heart not tough or strong enough to take a lot of pain take a lot of pain love is like a cloud it holds a lot of rain love hurts ooooo love hurtsim young i know but even so i know a thing or two i learned from you i really learned a lot really learned a lot love is like a flame it burns you when its hot love hurts ooooo love hurtssome fools think of happiness blissfulness togetherness some fools fool themselves i guess theyre not foolin me i know it isnt true i know it isnt true love is just a lie made to make you blue love hurts ooooo love hurts ooooo love hurtsi know it isnt true i know it isnt true love is just a lie made to make you blue love hurts ooooo love hurts ooooo love hurts ooooo,love hurts,nazareth,1976,23,1,1970s,sad
lonely night i cry myself to sleep tell me what am i gonna do cause its always been you to dry my tears its always been you to wash away my fears its always been you each night and day now what can i say when love slips away lonely night im walking the floor tell me what am i gonna do without your precious love your tender touch hey little man i miss you so much wish we could turn back the hands of time to the day when you were mine you used to call me angel face used to call me angel face you used to help me through the night make me feel all right now all i have is teardrops through a lonely night i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind i promise you ill change my ways i promise you loves here to stay hey little man depend on me ill be yours for eternity you used to call me angel face used to call me angel face you used to help me through the night make me feel all right now all i have is teardrops through a lonely night you used to call me angel face you used to help me through the night make me feel all right now all i have is teardrops through a lonely night i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind i cant get ya out of my mind got ya,lonely night angel face,captain tennille,1976,39,3,1970s,sad
when i was young i never needed anyone and makin love was just for fun those days are gonelivin alone i think of all the friends ive known but when i dial the telephone nobodys homeall by myself dont wanna be all by myself anymore all by myself dont wanna live all by myself anymorehard to be sure some times i feel so insecure and love so distant and obscure remains the cureall by myself dont want to be all by myself anymore all by myself dont want to live all by myself anymorewhen i was young i never needed anyone and making love was just for fun those days are goneall by myself dont want to be all by myself anymore all by myself dont want to live all by myself anymoreall by myself dont want to be all by myself anymore all by myself dont want to live all by myself anymoreall by myself dont want to be all by myself anymore,all by myself,eric carmen,1976,40,1,1970s,sad
another day is at end mama says shes tired again no one can even begin to tell her i hardly know what to say but maybe its better that way is papa were hereim sure hed tell her shannon is gone i hope shes drifting out to sea she always loved to swim away maybe shell find an island with a shady tree just like the one in our backyard mama tried hard to pretend things would get better again somehow shes keeping it all inside her but finally the tears fill our eyes and i know that somewhere tonight she knows how much we really miss her,shannon,henry gross,1976,47,1,1970s,sad
if you leave me now youll take away the biggest part of me no baby please dont go if you leave me now youll take away the very heart of me no baby please dont goa love like ours is love thats hard to find how could we let it slip away weve come too far to leave it all behind how could we end it all this way when tomorrow comes well both regret things we said todaycause i need you more than youll ever know,if you leave me now,chicago,1976,48,1,1970s,sad
ive had nothing but bad luck since the day i saw the cat at my door so i came here to you sweet lady answering your mystical call crystal ball on the table showing the future the past same cat with them evil eyes and i knew it was a spell shed castshes just a devil woman with evil on her mind beware the devil woman shes gonna get you shes just a devil woman with evil on her mind beware the devil woman shes gonna get you from behindgive me the ring on your finger let me see the lines of your hand i can see me a tall dark stranger giving you what you hadnt planned i drank the potion she offered me i found myself on the floor then i looked in those big green eyes and i wondered what i came there forshes just a devil woman with evil on her mind beware the devil woman shes gonna get you shes just a devil woman with evil on her mind beware the devil woman shes gonna get you from behindstay awake look out if youre out on a moonlit night be careful of the neighborhood strays of a lady with long black hair tryin to win you with her feminine ways crystal ball on the table showing the future the past same cat with them evil eyes youd better get out of there fast shes just a devil woman with evil on her mind beware the devil woman shes gonna get youshes just a devil woman with evil on her mind beware the devil woman shes gonna get you shes just a devil woman with evil on her mind beware the devil woman shes gonna get youshes just a devil woman with evil on her mind beware the devil woman shes gonna get you shes just a devil woman with evil on her mind beware the devil woman,devil woman,cliff richard,1976,55,1,1970s,sad
are we really happy with this lonely game we play looking for the right words to saysearching but not finding understanding anywhere were lost in this masqueradeboth afraid to say were just to far away from being close together from the start we tried to talk it over but the words got in the way were lost inside this lonely game we playthoughts of leaving disappear each time i see your eyes and no matter how hard i tryto understand the reasons why we carry on this way were lost in a masqueradewe tried to talk it over but the words got in the way were lost inside this lonely game we playthoughts of leaving disappear each time i see your eyes and no matter how hard i tryto understand the reasons why we carry on this way were lost in a masquerade were lost in a masqueradeand were lost in a masquerade,this masquerade,george benson,1976,69,1,1970s,sad
starry nights sunny days i always thought that love should be that way then comes a time that youre ridden with doubt youve loved all you can and now youre all loved out ooh ooh baby weve been a long long way and whos to say where well be tomorrow well my heart says no but my mind says its so that weve got a love is it a love to stay weve got a wham bam shangalang and a sha la la la la la thing wham bam shangalang and a sha la la la la la thing looking at you i wanted to say i think a little emotion goes a long long way careful now dont get caught in your dreams look out baby this is not what it seems ooh ooh baby youve been so good to me but please dont make it what its not well i thought we agreed on what we need so listen to me and ill tell you what weve got weve got a wham bam shangalang and a sha la la la la la thing wham bam shangalang and a sha la la la la la thing i think youre seeing what im saying cause i hear you singing to the tune im playing now that its said and we both understand lets say our goodbyes before it gets out of hand bye bye baby id really like to stay but well remember the best time in our lives we had a wham bam shangalang and a sha la la la la la thing wham bam shangalang and a sha la la la la la thing wham bam shangalang and a sha la la la la la thing,wham bam,silver,1976,71,3,1970s,sad
look what theyve done to my song ma look what theyve done to my song well its the only thing that i could do half right and its turning out all wrong ma look what theyve done to my songwish i could find a good book to live in wish i could find a good book well if i could find a real good book id never have to come out and look at what theyve done to my songlook what theyve done to my brain ma look what theyve done to my brain well theyve cooked it like a chicken bone i think im half insane ma look what theyve done to my brainils ont chang̩ ma chanson ma ils ont chang̩ ma chanson cest la seule chose je peux faire estceque nest pas bon ma ils ont chang̩ ma chansonlook what theyve done to my song ma look what theyve done to my song ma well theyve tied it up in a plastic bag then turned it upside down ma look what theyve done to my songla la la la la lawell its the only thing i could do half right and its turning out all wrong oh mama look what theyve done to my song oh mama look what theyve done to my song ma look what theyve done to my songwell its the only thing i could do all right and its turning out all wrong oh mama look what theyve done to my song,look what theyve done to my song ma,the new seekers,1970,96,1,1970s,sad
the thrill is gone the thrill is gone away the thrill is gone baby the thrill is gone away you know you done me wrong baby and youll be sorry somedaythe thrill is gone its gone away from me the thrill is gone baby the thrill is gone away from me although ill still live on but so lonely ill bethe thrill is gone its gone away for good all the thrill is gone baby its gone away for good someday i know ill be openarmed baby just like i know i know i shouldyou know im free free now baby im free from your spell oh free free free now baby im free from your spell and now that its all over all that i can do is wish you well,the thrill is gone,bb king,1970,98,1,1970s,sad
dark in the city night is a wire steam in the subway the earth is a fire do do do do do do do do do do do do do do do woman you want me give me a sign and catch my breathing even closer behind do do do do do do do do do do do do do do doin touch with the ground im on the hunt im after you smell like i sound im lost in a crowd and im hungry like the wolf straddle the line in discord and rhyme im on the hunt im after you mouth is alive with juices like wine and im hungry like the wolfstalked in the forest too close to hide ill be upon you by the moonlight side do do do do do do do do do do do do do do do hot blood drumming on your skin its so tight you feel my heat im just a moment behind do do do do do do do do do do do do do do doin touch with the ground im on the hunt im after you scent and a sound im lost and im found and im hungry like the wolf strut on a line its discord and rhyme i howl and i whine im after you mouth is alive all running inside and im hungry like the wolfhungry like the wolf hungry like the wolf hungry like the wolfburning the ground i break from the crowd im on the hunt im after you i smell like i sound im lost and im found and im hungry like the wolf strut on a line its discord and rhyme im on the hunt im after you mouth is alive with juices like wine and im hungry like the wolfburning the ground i break from the crowd im on the hunt im after you scent and a sound im lost and im found and im hungry like the wolf strut on a line its discord and rhyme i howl and i whine im after you mouth is alive all running inside and im hungry like the wolf,hungry like the wolf,duran duran,1983,17,1,1980s,confident
boy boynow in the street there is violence an an a lots of work to be done no place to hang all our washing an an i cant blame all on the sunoh no we gonna rock down to electric avenue and then well take it higher oh we gonna rock down to electric avenue and then well take it higherworkin so hard like a soldier cant afford a thing on tv deep in my heart i am warrior cant get food for them kidgood god we gonna rock down to electric avenue and then well take it higher oh we gonna rock down to electric avenue and then well take it higheroh no oh no oh no oh nooh lord we gonna rock down to electric avenue and then well take it higher oh we gonna rock down to electric avenue and then well take it higherwho is to blame in one country never can get to the one dealin in multiplication and they still cant feed everyoneoh no we gonna rock down to electric avenue and then well take it higher oh no we gonna rock down to electric avenue and then well take it higheroh out in the street out in the street out in the daytime out in the nightoh we gonna rock down to electric avenue and then well take it higher oh we gonna rock down to electric avenue and then well take it higherout in the street out in the street out in the playground in the dark side of townoh we gonna rock down to electric avenue and then well take it higher hey we gonna rock down to electric avenue and then well take it higherwe gonna rock down to electric avenue and then well take it higher electric avenue we gonna rock down to electric avenue and then well take it higher electric avenue,electric avenue,eddy grant,1983,22,1,1980s,confident
get up get up get up get up wake up wake up wake up wake upoh baby now lets get down tonightooh baby im hot just like an oven i need some lovin and baby i cant hold it much longer its getting stronger and strongerand when i get that feeling i want sexual healing sexual healing oh baby makes me feel so finehelps to relieve my mind sexual healing baby is good for me sexual healing is something thats good for mewhenever blue teardrops are fallin and my emotional stability is leaving me there is something i can do i can get on the telephone and call you up babyand honey i know youll be there to relieve me the love you give to me will free me if you dont know the thing youre dealing ohh i can tell you darling that its sexual healingget up get up get up get up lets make love tonight wake up wake up wake up wake up cause you do it rightbaby i got sick this mornin a sea was stormin inside of me baby i think im capsizin the waves are risin and risinand when i get that feeling i want sexual healing sexual healing is good for me makes me feel so fine its such a rush helps to relieve the mind and its good for ussexual healing baby its good for me sexual healing is something thats good for me well its good for me and its so good to me my baby ohhcome take control just grab a hold of my body and mind soon well be making it honey ill be feeling fine youre my medicine open up and let me in darling youre so great i cant wait for you to operatei cant wait for you to operatewhen i get this feeling i need sexual healing oh when i get this feeling i need sexual healing i gotta have sexual healing darling cause im all alone sexual healing darling till you come back homeplease dont procrastinate its not good to masturbate,sexual healing,marvin gaye,1983,32,1,1980s,confident
ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh ooh oohblack and orange stray cat sittin on a fence i aint got enough dough to pay the rent im flat broke but i dont care i strut right by with my tail in the airstray cat strut im a ladies cat im a feline casanova hey man thats that get a shoe thrown at me from a mean old man get my dinner from a garbage candont go crossing my pathi dont bother chasing mice around i slink down the alleyway looking for a fight howling to the moonlight on a hot summer night singin the blues while the lady cats cry wild stray cat youre a real gone guy i wish i could be as carefree and wild but i got cat class and i got cat stylei dont bother chasing mice around i slink down the alleyway looking for a fight howling to the moonlight on a hot summer night singin the blues while the lady cats cry wild stray cat youre a real gone guy i wish i could be as carefree and wild but i got cat class and i got cat style,stray cat strut,stray cats,1983,42,1,1980s,confident
no one looked as i walked by just an invitation would have been just fine said no to him again and again first he took my heart then he ranno one knows how i feel what i say unless you read between my lines one man walked away from me first he took my hand take me homestand back stand back in the middle of my room i did not hear from you its alright its alright to be standing in a line standing in a line i would crydo not turn away my friend like a willow i can bend no man calls my name no man cameso i walked on down away from you maybe your attention was more than you could do one man did not call he asked me for my love and that was allstand back stand back in the middle of my room i did not hear from you its alright its alright to be standing in a line standing in a line standing in a lineso i walked on down the line away from you maybe your attention was more than i could do one man did not call well he asked me for my love that was allstandback standbackyou do you do so i walked on down the line away from youmaby your attention was more than i could do one man did not call well he asked me for my love that was all standback standbackwell i need a little sympathy well i need a little sympathywell i need a little sympathiy i need to be standing in standback i need to be standing in standback i need to be standing in standback why dont you take me home why dont you take me home standback,stand back,stevie nicks,1983,44,1,1980s,confident
i make my living off the evening news just give me somethingsomething i can use people love it when you lose they love dirty laundrywell i coulda been an actor but i wound up here i just have to look good i dont have to be clear come and whisper in my ear give us dirty laundrykick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre down kick em when theyre up kick em all aroundwe got the bubbleheadedbleachblond who comes on at five she can tell you bout the plane crash with a gleam in her eye its interesting when people die give us dirty laundrycan we film the operation is the head dead yet you know the boys in the newsroom got a running bet get the widow on the set we need dirty laundryyou dont really need to find out whats going on you dont really want to know just how far its gone just leave well enough alone eat your dirty laundrykick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre stiff kick em all aroundkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre stiff kick em all arounddirty little secrets dirty little lies we got our dirty little fingers in everybodys pie we love to cut you down to size we love dirty laundrywe can do the innuendo we can dance and sing when its said and done we havent told you a thing we all know that kraft is king give us dirty laundrykick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre downkick em when theyre up kick em when theyre down kick em when theyre up kick em when theyre down,dirty laundry,don henley,1983,48,1,1980s,confident
